id,lc_name,name,url,reclaim_vat,vat_number,customer_service_email,qty_limit,order_limit,allow_resellers,vat_invoice_info,info
58,Brand Alley,BRAND ALLEY,https://www.brandalley.co.uk/,Unknown,GB923329922,https://help.brandalley.co.uk/hc/en-gb,,,,,
59,Brand Interiors,BRAND INTERIORS,https://www.brandinteriors.co.uk/,Unknown,GB938402419,https://www.brandinteriors.co.uk/contact/,,,,,
60,Bt Shop,BT SHOP,https://shop.bt.com/,Unknown,GB245719348,enquire-store@ee.co.uk,,,,A VAT invoice will be sent via email and this can also be found in your account online,
61,Build A Bear,BUILD A BEAR,https://www.buildabear.co.uk,Unknown,,https://www.buildabear.co.uk/contact-us.html,,,,,
62,Calendar Club,CALENDAR CLUB,https://www.calendarclub.co.uk,Unknown,GB717850029,customerservices@calendarclub.co.uk,,,,contact Customer Services,
63,Campus Gifts,CAMPUS GIFTS,https://www.campusgifts.co.uk,Unknown,GB697782359,customerservice@campusgifts.co.uk,,,,receipt  will be sent via email or under Receipt Page,
64,Capital Hair,CAPITAL HAIR,https://www.capitalhairandbeauty.co.uk/,Unknown,GB620666648,customerservice@capitalhb.co.uk,,,,Download from Invoices in My Account section,
65,Cassart,CASSART,https://www.cassart.co.uk,Unknown,GB429592223,cassartcare@cassart.co.uk,,,,Download from Order page,
66,Chaos Cards,CHAOS CARDS,https://www.chaoscards.co.uk/,Unknown,GB944234526,https://www.chaoscards.co.uk/contact-us,,,,"Download from Order page or request invoice thru customer service ",
67,Charlies,CHARLIES,https://www.charlies.co.uk/,Unknown,,https://www.charlies.co.uk/contact,,,,contact Customer Service,
68,Charlotte,CHARLOTTE,https://www.charlottetilbury.com/,Unknown,GB267552869,https://help.charlottetilbury.com/hc/en-us/requests/new,,,,contact Customer Service,
69,Chemist4U,CHEMIST4U,https://www.chemist-4-u.com/,Unknown," GB140138454",https://support.chemist-4-u.com/hc/en-gb,,,,request from Customer Support,
70,Chemist Direct,CHEMIST DIRECT,http://www.chemistdirect.co.uk/,Unknown,GB734375427,https://www.chemistdirect.co.uk/contact,,,,invoice will be sent thru email,
71,Choice Furniture,CHOICE FURNITURE,https://www.choicefurnituresuperstore.co.uk/,Unknown,GB303256343,customerservice@cfsonline.co.uk,,,,"invoice forwarded to delivery; request thru customer service ",
72,Clifton Cameras,CLIFTON CAMERAS,https://www.cliftoncameras.co.uk/,Unknown,GB793819867,https://www.cliftoncameras.co.uk/Clifton-Cameras-%7C-Contact-Us,,,,invoice will be sent thru email,
73,Cocoon Center,COCOON CENTER,https://www.cocooncenter.co.uk,Yes,GB171877182,customer.service@cocooncenter.co.uk,,,,invoice will be sent thru email,
74,Coffeesup,COFFEESUP,https://www.coffeesuppliesdirect.co.uk/,Unknown,GB884109606,https://www.coffeesuppliesdirect.co.uk/pages/contact-us,,,,Invoice will be sent thru email,
75,Coggles,COGGLES,https://www.coggles.com/,Unknown,,https://www.coggles.com/c/help-centre/,,,,,
76,Concept,CONCEPT,https://www.concepthousewares.co.uk/,Unknown,,https://concepthousewares.co.uk/contactus,,,,,
77,Coolshop,COOLSHOP,https://www.coolshop.co.uk/,Unknown,GB280358106,info@coolshop.co.uk,,,,invoice will be sent thru email,
78,Coopers,COOPERS,https://www.coopersofstortford.co.uk/,Unknown,,https://www.coopersofstortford.co.uk/contact-us/,,,,,
79,Cosmeterie,COSMETERIE,https://www.cosmeterie.co.uk,Unknown,,uk@cosmeterie.com,,,,Choose option upon check-out: invoice thru email or send invoice with the order,
80,Cosmetify,COSMETIFY,https://www.cosmetify.com/,Unknown,,https://www.cosmetify.com/contact/,,,,"Request thru your account by selecting, ""Request Invoice"" in the options. It will be then sent thru email",
81,Costco,COSTCO,https://www.costco.co.uk/,Unknown,GB650186252,https://customercare.costco.co.uk/app/answers/list/c/147,,,,Download from Order page,
82,Costway,COSTWAY,https://www.costway.co.uk/,Unknown,,cs.uk@costway.com,,,,Email Customer Service,
83,Cpc,CPC,https://cpc.farnell.com/,Unknown,,sales@cpc.co.uk,,,,go to Request an invoice form,
84,Crampton,CRAMPTON,https://www.cramptonandmoore.co.uk/,Unknown,GB308014401,https://www.cramptonandmoore.co.uk/contact,,,,chat support,
85,Cult Beauty,CULT BEAUTY,https://www.cultbeauty.co.uk,Unknown,,https://www.cultbeauty.co.uk/help-centre.list,,,,"contact the Customer Service team via the 'Still need help?' section ",
86,Currys,CURRYS,https://www.currys.co.uk/,Unknown,GB226659933,https://www.currys.co.uk/help-and-support.html#contact,,,,"Send invoice thru email; chat support ",
87,Debenhams,DEBENHAMS,https://www.debenhams.com/,Unknown,,customerservices@debenhams.co.uk,,,,,
88,Decathlon,DECATHLON,https://www.decathlon.co.uk/,Unknown,GB679262296,https://www.decathlon.co.uk/help/app/ask,,,,,
89,Delonghi,DELONGHI,https://www.delonghi.com/,Unknown,GB486989749,,,,,,
90,Dermal Sense,Dermal Sense,https://www.dermalsense.com/en,Unknown,GB608811541,https://www.dermalsense.com/contact-us,,,,invoice will be sent thru email,
91,Direct Golf,DIRECT GOLF,https://www.directgolf.co.uk,Unknown,GB777379662,https://help.directgolf.co.uk/en/support/home,,,,invoice will be sent thru email,
92,Discount Leisure Products,DISCOUNT LEISURE PRODUCTS,https://www.discountleisureproducts.co.uk,Unknown,GB425572353,https://www.discountleisureproducts.co.uk/contact-us-i3,,,,invoice will be sent thru email,
93,Discount Golf,DISCOUNT GOLF,https://www.discountgolfstore.co.uk/,Unknown,GB233999367,orders@discountgolfstore.co.uk,,,,Email Customer Service,
94,Discount Pet,DISCOUNT PET,https://discountpetfood.co.uk/,Unknown,,sales@discountpetfood.co.uk,,,,,
95,Discount Supplies,Discount Supplies,https://www.discount-supplements.co.uk/,Unknown,,louis.cook@discount-supplements.co.uk,,,,email customer service,
96,Disney,DISNEY,https://www.shopdisney.co.uk/,Unknown,GB539293808,https://support.shopdisney.co.uk/hc/en-gb/requests/new?onlineWebFormTag=web_en-gb_disney_store_help,,,,"Fill up Order Query form , Category VAT Receipt Request",
97,Drink Stuff,DRINK STUFF,https://www.drinkstuff.com/,Unknown,GB188085175,hello@drinkstuff.com,,,,Download from Order Page,
98,Dunelm,DUNELM,https://www.dunelm.com/,Unknown,GB818284021,https://www.dunelm.com/contact-us,,,,Go to Contact Us and fill up form. Choose in drop down Subject: I would like a VAT receipt for my order,
99,Duracell,DURACELL,https://www.duracelldirect.co.uk/,Unknown,GB221036269,https://www.duracelldirect.co.uk/info/contact.html,,,,,
100,Early Learning Centre,EARLY LEARNING CENTRE,https://www.elc.co.uk/,Unknown,GB285200909,https://theentertainer.zendesk.com/hc/en-gb/requests/new?ticket_form_id=360003026918,,,,"contact Customer Service https://www.thetoyshop.com/contactus ",
101,Easy Para,EASY PARA,https://www.easypara.co.uk/,Unknown,FR06499531457,customerservice@easyparapharmacie.com,,,,Download from Order Page,
102,Ebuyer,EBUYER,https://www.ebuyer.com/,Unknown,GB836592300,https://static.ebuyer.com/customer/help/index.html?action=Y29udGFjdF91cw==,,,,Download from Order Page,
103,Eclispe Cards,ECLISPE CARDS,https://eclipsecards.com/,Unknown,GB380417210,https://eclipsecards.com/pages/contact,,,,request thru chat support,
104,Ecook,ECOOK,https://www.ecookshop.co.uk/ecookshop/cook-shop.asp,Unknown,GB174476929,https://www.ecookshop.co.uk/ecookshop/other/contact.asp,,,,Invoice will be sent thru email once order has been dispatched,
105,Elc,ELC,https://www.elc.co.uk/,Unknown,,,,,,Fill out Contact Us form,
106,Electrical Discount Uk,Electrical Discount UK,https://www.electricaldiscountuk.co.uk/,Unknown,GB179959186,https://www.electricaldiscountuk.co.uk/contact,,,,Invoices are sent via email when the item is dispatched.,
107,Elfcos,ELFCOS,https://www.elfcosmetics.co.uk/,Unknown,GB401320764,https://www.elfcosmetics.co.uk/contact-us,,,,Invoice inside the package,
108,Escentual,ESCENTUAL,https://www.escentual.com/,Unknown,GB433288155,https://www.escentual.com/help-and-advice/customer-services/contact-us/,,,,Invoice will be sent thru email once order has been placed,
109,Esedirect,ESEDIRECT,https://www.esedirect.co.uk/,Unknown,GB287826210,https://www.esedirect.co.uk/t-contact.aspx,,,,Invoice will be sent thru email once order has been dispatched,
110,Ethical Superstore,ETHICAL SUPERSTORE,https://www.ethicalsuperstore.com,Unknown,,https://www.ethicalsuperstore.com/contact-us/,,,,email customer service to request an invoice,
111,Euro Office,EURO OFFICE,https://www.euroffice.co.uk,Unknown,GB100116692,https://www.euroffice.co.uk/contact-us,,,,Invoice will be sent through email within 48hours; download invoice from Order Page,
112,Euroffice,EUROFFICE,https://www.euroffice.co.uk/,Unknown,,,,,,Invoice will be sent through email within 48hours; download invoice from Order Page,
113,Faith Jewellers,faith jewellers,https://www.faithjewellers.co.uk/,Unknown,GB998044668,sales@faithjewellers.co.uk,,,,Invoice enclosed to package upon delivery,
114,Farnell,FARNELL,https://uk.farnell.com/,Unknown,GB169680322,support@farnell.com,,,,Invoice will be sent through email once order has been dispatched,
115,Feelunique,FEELUNIQUE,https://www.feelunique.com/,Unknown,GB113948805,https://www.feelunique.com/help/article.php?id=207521079-Contact-us,,,,,
116,Festive Lights,FESTIVE LIGHTS,https://www.festive-lights.com/,Unknown,GB864281901,https://support.festive-lights.com/support/tickets/new,,,,"Download from order page, if you checked out as a guest, go to Contact Us for a VAT Invoice ",
117,Flannels,FLANNELS,https://www.flannels.com/,Unknown,GB231508733,https://help.flannels.com/en/support/home,,,,Invoice will be sent through email once order has been processed,
118,Fleurtations,FLEURTATIONS,https://www.fleurtations.uk.com/,Unknown,,info@fleurtations.uk.com,,,,Invoice will be sent through email once order has been dispatched or Download from Order Page,
119,Foot Locker,FOOT LOCKER,https://www.footlocker.co.uk/,Unknown,GB545256538,https://help.footlocker.eu/hc/en-gb/requests/new,,,,Request from Customer Care,
120,Forbidden,FORBIDDEN,https://forbiddenplanet.com/,Unknown,,https://forbiddenplanet.com/contact/form/,,,,Email Customer Service,
121,Fragrance Direct,FRAGRANCE DIRECT,https://www.fragrancedirect.co.uk/,Unknown,GB611384368,https://www.fragrancedirect.co.uk/help-centre.list,,,,,
122,Fragrance Shop,FRAGRANCE SHOP,https://www.thefragranceshop.co.uk,Unknown,,https://thefragranceshop.zendesk.com/hc/en-gb/requests/new,,,,Email customer service,
123,Funko Europe,FUNKO EUROPE,https://funkoeurope.com,Unknown,,supportemea@funko.com,,,,"cannot proceed with inquiry, need order #",
124,The Game Collection,The Game Collection,https://www.thegamecollection.net/,Unknown,GB862311250,support@thegamecollection.net,,,,email customer service to request an invoice,
125,George,GEORGE,"https://global.direct.asda.com/george/clothing/10,default,sc.html",Unknown,GB362012792,,,,,Manage your Order page and click email to send your email copy of invoice,
126,Glow,GLOW,https://www.glow.co.uk/,Unknown,GB817562908,https://www.glow.co.uk/contact-us.html,,,,"copy of the invoices that are sent out with an orde or  email Customer Service to get a PDF copy ",
127,Gopro,GOPRO,https://gopro.com/,Unknown,GB218378686,https://gopro.com/help/ContactUs,,,,,
128,Gordons,GORDONS,https://gordonsdirect.com/,Unknown,GB809823509,https://gordonsdirect.com/pages/contact-us,,,,Invoice will be sent in the order confirmation email,
129,Gorg,GORG,https://www.gorgeousshop.com/,Unknown,GB898035187,https://www.gorgeousshop.com/contact,,,,Invoice will be sent thru email after item has been dispatched,
130,Guru Makeup Emporium,GURU MAKEUP Emporium,https://www.gurumakeupemporium.com/,Unknown,GB938789154,orders@gurumakeupemporium.com,,,,VAT invoices are provided when you place orders and a hard copy is enclosed with the goods.,
131,Halfords,HALFORDS,https://www.halfords.com/,Unknown,GB797077669,https://www.halfords.com/customer-services/contact-us,,,,Invoice will be sent thru email after item has been dispatched,
132,Hamleys,HAMLEYS,https://www.hamleys.com/,Unknown,GB510438189,customerservices@hamleys.co.uk,,,,request thru Customer Service,
133,Harrisons,HARRISONS,https://www.harrisonsdirect.co.uk/,Unknown,,sales@harrisonsdirect.co.uk,,,,Email Customer Service,
134,Hit,HIT,https://www.hit.co.uk,Unknown,GB768485372,help@hit.co.uk,,,,Email Customer Service,
135,Hive,HIVE,https://www.hivehome.com/,Unknown,GB444950437,https://www.hivehome.com/contact-us,,,,,
136,Hobby Craft,HOBBY CRAFT,https://www.hobbycraft.co.uk/,Unknown,GB974990653,https://www.hobbycraft.co.uk/help-centre/customer-services/cp-contact-us.html#,,,,Your delivery dispatch or collection confirmation email will act as a VAT invoice. The Hobbycraft VAT number is 974990653.,
137,Hogies Online,HOGIES ONLINE,https://hogiesonline.co.uk,Unknown,,info@hogiesonline.co.uk,,,,invoice will be sent in the parcel and VAT invoice we can send to your email address once requested,
138,Holland & Barrett,HOLLAND & BARRETT,https://www.hollandandbarrett.com,Unknown,GB211727395,https://help.hollandandbarrett.com/hc/en-gb/requests/new,,,,Download from Order page,
139,Home Bargains,HOME BARGAINS,https://www.homebargains.co.uk/,Unknown,GB320093700,,,,,,
140,Home Essentials,HOME ESSENTIALS,https://www.homeessentials.co.uk,Unknown,GB148879603,https://support.homeessentials.co.uk/hc/en-gb/requests/new,,,,chat support or email,
141,Homebase,HOMEBASE,https://www.homebase.co.uk/,Unknown,GB233112755,https://help.homebase.co.uk/hc/en-gb/requests/new,,,,"Fill out Contact Form ",
142,Housefraser,HOUSEFRASER,https://www.houseoffraser.co.uk/,Unknown,GB301985996,https://help.houseoffraser.co.uk/en/support/home,,,,Invoice will be sent thru email when order has been processed,
143,Howleys Toys,HOWLEYS TOYS,https://www.howleys.co.uk,Unknown,GB824599493,https://www.howleys.co.uk/contact-us/,,,,Email Customer Service,
144,Hqhair,HQHAIR,https://www.hqhair.com/,Unknown,GB405134538,https://www.hqhair.com/help-centre.list,,,,,
145,Hyperdrug,HYPERDRUG,https://hyperdrug.co.uk/,Unknown,GB601882062,https://hyperdrug.co.uk/contact/,,,,A full paper cat invoice is included with your order,
146,Iceland,ICELAND,https://www.iceland.co.uk/,Unknown,,,,,,,
147,Iherb,IHERB,https://uk.iherb.com/,Unknown,,https://uk.iherb.com/help/contact,,,,Download from order page,
148,Ikea,IKEA,https://www.ikea.com/gb/en/,Unknown,GB527773320,https://www.ikea.com/gb/en/customer-service/contact-us/,,,,Invoice will be sent thru email,
149,Iwoot,IWOOT,https://www.iwantoneofthose.com/,Unknown,GB974860768,https://www.iwantoneofthose.com/help-centre.list,,,,,
150,Jarrold,JARROLD,https://www.jarrold.co.uk,Unknown,GB651059646,online@jarrolds.co.uk,,,,email customer service to request an invoice,
151,Jdsports,JDSPORTS,https://www.jdsports.co.uk/,Unknown,GB787440102,https://www.jdsports.co.uk/customer-service/contact/,,,,Fill out contact us form,
152,Jdwill,JDWILL,https://www.jdwilliams.co.uk/,Unknown,GB148879603,https://support.jdwilliams.co.uk/hc/en-gb/requests/new,,,,Download from order page,
153,Jigsawsuk,JIGSAWSUK,https://www.jigsawsuk.co.uk/,Unknown,,https://www.jigsawsuk.co.uk/contact-us/,,,,contact customer support,
154,John Lewis,JOHN LEWIS,https://www.johnlewis.com,Unknown,GB232457280,,,,,Download from order page,
155,Jollyes,JOLLYES,https://www.jollyes.co.uk/,Unknown,GB229224766,https://jollyesthepetpeople.zohodesk.eu/portal/en/newticket,,,,Invoice will be sent thru email,
156,Just Hype,JUST HYPE,https://uk.justhype.com,Unknown,GB153483115,https://uk.justhype.com/pages/contact,,,,Email Customer Support,
157,Just My Look,JUST MY LOOK,https://www.justmylook.com,Yes,GB179003215,https://www.justmylook.com/contact-us-faqs-i3,None,None,true,Download from order page,No order or quantity limits
158,Kapow Toys,KAPOW TOYS,https://www.kapowtoys.co.uk,Unknown,GB948221025,https://www.kapowtoys.co.uk/contact.html,,,,Email Customer Service,
159,Kerrison Toys,KERRISON TOYS,https://www.kerrisontoys.co.uk,Unknown,,https://www.kerrisontoys.co.uk/contact-us,,,,,
160,Kids Stuff Toys,KIDS STUFF TOYS,https://www.kidsstufftoys.co.uk,Unknown,GB840769604,info@kidsstufftoys.co.uk,,,,,
161,Kiehls,KIEHLS,https://www.kiehls.co.uk/,Unknown,GB438506540,https://www.kiehls.co.uk/customer-service/contact-us-form.html,,,,Invoice will be sent thru email (do not allow to resend invoice),
162,Kiyo Beauty,KIYO BEAUTY,https://www.kiyobeauty.com,Unknown,,https://www.kiyobeauty.com/pages/contact-us,,,,Invoice link sent thru email,
163,Lancome,LANCOME,https://www.lancome.co.uk/,Unknown,GB438506540,https://www.lancome.co.uk/customer-service/contact-us.html,,,,Invoice will be sent thru email,
164,Landys,LANDYS,https://www.landyschemist.com/,Unknown,GB370982528,info@landyschemist.com,,,,Email Customer Service,
165,Led Hut,LED HUT,https://ledhut.co.uk,Unknown,GB927173808,https://ledhut.co.uk/pages/contact-us,,,,Email Customer Service,
166,Lego,LEGO,https://www.lego.com/en-gb,Unknown,GB121472057,https://www.lego.com/en-gb/service/contact-us,See product page,Only order once,true,Contact customer services https://www.lego.com/en-gb/service/email-us/choose-topic,"Do NOT exceed the quantity limits with multiple orders, like wise do not create multiple accounts or they will ban you for life."
167,Lindt,LINDT,https://www.lindt.co.uk/,Unknown,IE9952239C,https://www.lindt.co.uk/contact-us,,,,Email Customer service,
168,Little Chic,LITTLE CHIC,https://www.littlechic.co.uk/,Unknown,GB369267747,https://www.littlechic.co.uk/index.php?route=information/contact,,,,Email Customer Service,
169,Littlewoods,LITTLEWOODS,https://www.littlewoods.com,Unknown,GB163769628,,,,,,
170,Longacres,LONGACRES,https://www.longacres.co.uk,Unknown,,customerservices@longacres.co.uk,,,,VAT receipt please note this on the comments box of the order,
171,Look Fantastic,Look Fantastic,https://www.lookfantastic.com/,Yes,GB396453358,Open ticket https://www.lookfantastic.com/help-centre.list,6 Per Order,No Limit,true,Open ticket on order page to get VAT invoice,"Some brands have limited qty per order, however can order as many times as you like"
172,Lookinc,LOOKINC,https://lookincredible.co.uk/,Unknown,,help@lookincredible.co.uk,,,,Email Customer Service,
173,Lost Universe,LOST UNIVERSE,https://www.menkind.co.uk,Unknown,GB945794274,https://www.menkind.co.uk/contact,,,,Email customer service,
174,Magicmad,MAGICMAD,https://magicmadhouse.co.uk/,Unknown,GB915431344,https://magicmadhouse.co.uk/contact-form/,,,,Download from Order Page,
175,Maisonwhite,MAISONWHITE,https://www.maisonwhite.co.uk/,Unknown,GB378643844,contact@maisonwhite.co.uk,,,,Contact customer support,
176,Mandm Direct,MANDM DIRECT,https://www.mandmdirect.com,Unknown,GB299152660,https://help.mandmdirect.com/hc/en-gb/articles/12712318048274-Contact-Us,,,,Email Customer Service,
177,Mankind,MANKIND,https://www.mankind.co.uk,Unknown,,https://www.mankind.co.uk/help-centre.list,,,,Invoice will be sent thru email once order has been dispatched,
178,Manukadoctor,MANUKADOCTOR,https://www.manukadoctor.co.uk/,Unknown,GB122223764,https://www.manukadoctor.co.uk/pages/contact,,,,email customer service to request an invoice,
179,Maplin,MAPLIN,https://www.maplin.co.uk,Unknown,,https://help.maplin.co.uk/en-US/contact,,,,Email Customer Service,
180,Marks,MARKS,https://markselectrical.co.uk/,Unknown,GB425156314,https://markselectrical.co.uk/help/query-order,,,,Go to Help with our current orders and fill out form,
181,Medino,MEDINO,https://www.medino.com,Unknown,GB280678768,info@medino.com,,,,email customer service to request an invoice,
182,Menkind,MENKIND,https://www.menkind.co.uk/,Unknown,,,,,,email customer service to request an invoice,
183,Merlincycles,MERLINCYCLES,https://www.merlincycles.com/,Unknown,GB604764933,sales@merlincycles.com,,,,email customer service to request an invoice,
184,Mifarma,MIFARMA,https://www.mifarma.co.uk/,Unknown,,https://soporte.mifarma.es/hc/en-gb/requests/new,,,,Email customer service to request an invoice,
